ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,InsuranceValidity,RTO,Mileage,Color,EngineType,Displacement,NoofCylinder,FuelSuppySystem,TurboCharger,SuperCharger,GearBox,DriveType, SeatingCapacity,SteeringType,FrontBrakeType,RearBrakeType,TyreType,NoDoorNumbers,city
Petrol,Hatchback,34124,Manual,1,Maruti,Maruti Wagon R,2018,VXI,395000,Comprehensive,WB08,21.79,Blue,K10B Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless Tyres, Radial",5,Kolkata
Diesel,Hatchback,50000,Manual,2,Hyundai,Hyundai i20,2012,1.4 CRDi Magna,200000,Third Party insurance,WB06,21.9,Others,Diesel,1396,4,CRDI,No,No,5,FWD,5,Power,Disc,Disc,"Tubeless,Radial",5,Kolkata
Petrol,Sedan,48168,Manual,1,Honda,Honda City,2018,i-VTEC VX,750000,Comprehensive,WB02,17.4,Maroon,i VTEC Engine,1497,4,PGM-Fi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,56357,Manual,1,Maruti,Maruti Swift Dzire,2018,LXI,480000,Third Party insurance,WB26,19.0,White,K Series VVT Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,60000,Manual,1,Maruti,Maruti Swift Dzire,2010,VXi,245000,Third Party insurance,WB06,17.5,Blue,In-Line Engine,1298,4,MPFI,No,No,5,2 WD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,Kolkata
Petrol,Hatchback,10585,Manual,1,Maruti,Maruti Baleno,2022,Delta,719000,Comprehensive,WB26,21.01,Blue,1.2L VVT Engine,1197,4,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Sedan,50000,Automatic,2,Honda,Honda Civic,2012,1.8 V AT Elegance,375000,Third Party insurance,TN01,13.1,Others,In-Line Engine,1799,4,PGM-FI (Programmed Fuel Inject,No,No,5,FWD,5,Power,Ventilated Disc,Disc,"Tubeless,Radial",4,Kolkata
Petrol,SUV,17642,Manual,1,Hyundai,Hyundai Creta,2020,S BSVI,1214000,Zero Dep,WB12,19.23,White,1.5 L MPi Petrol,1497,4,MPi,No,No,6,FWD,5,Power,Disc,Disc,"Tubeless, Radial",5,Kolkata
Diesel,Hatchback,20000,Manual,1,Tata,Tata Tiago,2018,1.05 Revotorq XZ Plus DualTone,439000,Third Party insurance,WB02,27.28,Others,Revotorq Engine,1047,3,CRDi,Yes,No,5,FWD,5,Power,Disc,Drum,Tubeless,5,Kolkata
Petrol,Hatchback,9157,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,Asta,753000,Third Party,WB08,20.7,Blue,1.2 Kappa petrol,1197,4,CRDi,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",5,Kolkata
