it,ft,bt,km,transmission,ownerNo,owner,oem,model,RearBrakeType,TyreType,AlloyWheelSize,EngineType,NoofCylinder,FuelSuppySystem,NoDoorNumbers,Color,TurboCharger,SuperCharger,DriveType, SeatingCapacity,SteeringType,Ground Clearance Unladen,CargoVolumn,Insurance Validity,Mileage,Front Brake Type,RearBrakeType,CompressionRatio,Acceleration,Top Speed,city,modelYear,centralVariantId,variantName,price,priceActual,city
0,Diesel,SUV,"76,187",Automatic,1,1st Owner,Mahindra,Mahindra Alturas G4,Ventilated Disc,"Radial, Tubeless",18,2.2L Diesel Engine,4,CRDi,5,Silver,Yes,No,FWD,7,Electric,180,9544.285567,Comprehensive,12.05 kmpl,Ventilated Disc,Ventilated Disc,10.5,10.94071856,175.7062571,Kolkata,2020,7796,4X4 AT,₹ 20.25 Lakh,645877,Kolkata
0,Petrol,Sedan,"27,447",Manual,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",15,Petrol Engine,4,MPFI,4,Grey,No,No,FWD,5,Power,120mm,460,Third Party insurance,15.41 kmpl,Disc,Drum,10.5,10.94071856,185,Kolkata,2018,3140,1.6 MPI Ambition BSIV,₹ 5.60 Lakh,645877,Kolkata
0,Petrol,Hatchback,"17,024",Manual,2,2nd Owner,Datsun,Datsun RediGO,Drum,"Tubeless,Radial",16,0.8L Petrol Engine,3,MPFi,5,Grey,No,No,2WD,5,Power,185mm,222,Comprehensive,22.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2018,5236,T Option,₹ 2.72 Lakh,645877,Kolkata
0,Petrol,Sedan,"1,00,000",Manual,1,1st Owner,Skoda,Skoda Rapid,Drum,"Tubeless,Radial",16,Petrol Engine,4,MPFI,4,Silver,No,No,FWD,5,Power,120mm,460,Comprehensive,15.41 kmpl,Disc,Drum,10.5,10.94071856,185,Kolkata,2017,3124,1.6 MPI Active BSIV,₹ 4.25 Lakh,645877,Kolkata
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Petrol Engine,3,GDi,5,Others,Yes,No,FWD,5,Power,190mm,350,Third Party insurance,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6945,SX Turbo BSIV,₹ 7.50 Lakh,645877,Kolkata
0,Petrol,Sedan,"9,646",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,Petrol Engine,4,GDi,4,Grey,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7710,ZXI BSVI,₹ 6.58 Lakh,645877,Kolkata
0,Petrol,Sedan,"31,479",Automatic,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,Petrol Engine,4,GDi,4,Blue,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.61 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2020,7712,VXI AT BSVI,₹ 5.88 Lakh,645877,Kolkata
0,Petrol,SUV,"4,034",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,Kappa 1.0 L Turbo GDi Petrol,3,GDi,5,Blue,Yes,No,FWD,5,Electric,190mm,350,Comprehensive,18.27 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2022,7675,SX Turbo,₹ 9.56 Lakh,645877,Kolkata
0,Petrol,Sedan,"62,665",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,Kappa 1.0 L Turbo GDi Petrol,4,GDi,4,Silver,Yes,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2012,10244,VXI,₹ 2.89 Lakh,294000,Kolkata
0,Petrol,Sedan,"23,227",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,Kappa 1.0 L Turbo GDi Petrol,4,GDi,4,Others,Yes,No,FWD,5,Electric,160,378,Third Party insurance,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2021,7711,ZXI Plus BSVI,₹ 6.90 Lakh,700000,Kolkata
0,Diesel,MUV,"10,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,Drum,"Tubeless,Radial",16,2-GD FTV Engine,4,Direct Injection,5,Others,Yes,No,RWD,7,Power,178mm,300,Third Party insurance,13.68 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,2401,2.4 GX MT BSIV,₹ 17 Lakh,645877,Kolkata
0,Diesel,SUV,"36,374",Manual,1,1st Owner,Hyundai,Hyundai Venue,Drum,Radial,16,2-GD FTV Engine,4,CRDi,5,White,No,No,FWD,5,Power,190mm,350,Third Party insurance,23.7 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2019,6949,SX Opt Diesel BSIV,₹ 8.50 Lakh,645877,Kolkata
0,Petrol,Sedan,"39,579",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",16,2-GD FTV Engine,4,CRDi,4,Others,No,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2010,10244,VXI,₹ 2.22 Lakh,227999,Kolkata
0,Petrol,Sedan,"32,152",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,Drum,"Tubeless, Radial",15,2-GD FTV Engine,4,CRDi,4,Others,No,No,FWD,5,Electric,160,378,Comprehensive,22.41 kmpl,Disc,Drum,10.5,10.94071856,175.7062571,Kolkata,2015,10246,ZXI,₹ 3.84 Lakh,408000,Kolkata
